Country,Rank by rate of ownership,Average,Low firearms per 100 people,High firearms per 100 people,total,Low total,High total,Registered,"Total from registered gunscorrelation",Total from regional or global correlation,"GNI (2005$)per capita",Population
United States of America,1,88.8,82.2,95.3,270000000,250000000,290000000,,,,43560,304201200
Yemen,2,54.8,28.6,81.1,11500000,6000000,17000000,,,,600,20974700
Switzerland,3,45.7,30.9,60.5,3400000,2300000,4500000,,,,55320,7437100
Finland,4,45.3,31.5,59.1,2400000,1650000,3100000,1600000,,,37530,5246100
Serbia,5,37.8,26,49.6,3050000,2100000,4000000,1056314,,,3220,8064300
Cyprus,6,36.4,36.4,36.4,275000,,,104661,275991,,47000,757800
Saudi Arabia,7,35,35,35,6000000,,,,,8098123,12510,23119000
Iraq,8,34.2,24.6,43.9,9750000,7000000,12500000,,,,1224,28505900
Uruguay,9,31.8,31.8,31.8,1100000,1100000,1100000,593000,,,4360,3463200
Sweden,10,31.6,23.3,39.9,2800000,2100000,3600000,2096798,,,40910,9024100
Norway,11,31.3,31.3,31.3,1400000,1445000,1445000,1320000,,,60890,4623300
France,12,31.2,29.6,32.9,19000000,18000000,20000000,2802057,,,34600,60873000
Canada,13,30.8,24.5,37.2,9950000,7900000,12000000,7000000,,,32590,32299000
Austria,14,30.4,30.4,30.4,2500000,2500000,2500000,,,,37190,8233300
Iceland,15,30.3,30.3,30.3,90000,,,,,90000,48570,296800
Germany,15,30.3,24.3,36.4,25000000,20000000,30000000,7200000,,,34870,82469400
Oman,17,25.4,25.4,25.4,650000,,,,,651915,9070,2567000
Bahrain,18,24.8,24.8,24.8,180000,180000,180000,,,,32000,726700
Kuwait,18,24.8,24.8,24.8,630000,630000,630000,,,,30630,2535500
Macedonia,20,24.1,18.7,29.5,490000,380000,600000,156000,,,2830,2034100
Montenegro,21,23.1,19.2,26.9,150000,125000,175000,86000,,,3860,650000
New Zealand,22,22.6,20.7,24.4,925000,850000,1000000,335000,,,25920,4098900
Greece,23,22.5,22.5,22.5,2500000,2500000,2500000,100000,,,19840,11104000
UAE,24,22.1,22.1,22.1,1000000,1000000,1000000,,,,26950,4533200
Northern Ireland,25,21.9,21.9,21.9,380000,,,144500,381047,,4970,1741600
Croatia,26,21.7,17.6,25.9,950000,780000,1150000,371702,,,8290,4443400
Panama,26,21.7,21.7,21.7,700000,700000,700000,96614,,,4630,3231500
Lebanon,28,21,14,28,750000,500000,1000000,,,,6320,3576900
Equatorial Guinea,29,19.9,19.9,19.9,100000,,,,,100000,13000,503600
Kosovo,30,19.5,16.5,22.6,415000,350000,480000,,,,1600,2126700
Qatar,31,19.2,19.2,19.2,520100,156000,156000,,,,12000,812900
Latvia,32,19,19,19,280000,,,,,436083,6770,2300500
Peru,33,18.8,18.8,18.8,750000,750000,750000,245000,,,2650,3998900
Angola,34,17.3,9.4,25.1,2800000,1500000,4000000,,,,1410,15941400
Bosnia-Herzegovina,34,17.3,12.8,21.8,675000,500000,850000,353000,,,2700,3907100
Belgium,34,17.2,14.3,20,1800000,1500000,2100000,870000,,,36140,10478700
Paraguay,37,17,17,17,1000000,1000000,1000000,330000,,,1040,5898700
Czech Republic,38,16.3,16.3,16.3,1600000,,,632000,1666584,,11220,10234100
Thailand,39,15.6,15.6,15.6,10000000,10000000,10000000,3870000,,,2720,64232800
